[08:14:55 AM || 19/06/2026] [ERROR] [UNCAUGHT_EXCEPTION] [eval]:5
console.log(JSON.stringify(global.__captured.HIDDEN_OWNER_IDS, null, 2));
                                             ^

TypeError: Cannot read properties of undefined (reading 'HIDDEN_OWNER_IDS')
    at [eval]:5:46
    at runScriptInThisContext (node:internal/vm:209:10)
    at node:internal/process/execution:446:12
    at [eval]-wrapper:6:24
    at runScriptInContext (node:internal/process/execution:444:60)
    at evalFunction (node:internal/process/execution:279:30)
    at evalTypeScript (node:internal/process/execution:291:3)
    at node:internal/main/eval_string:74:3
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: ytautodl
[04:04:36 PM || 19/06/2026] [INFO] [REFRESH] Loaded 19 events
[04:04:36 PM || 19/06/2026] [SUCCESS] [ISLAMIC_SCHEDULER] Islamic scheduler started ✅
[04:04:36 PM || 19/06/2026] [SUCCESS] [SCHEDULER] All schedulers started
[04:04:36 PM || 19/06/2026] [INFO] [BOT] Attaching MQTT listener...
[04:04:36 PM || 19/06/2026] [SUCCESS] [BOT] 🌟 MR DEVIL BOT 🌟 is now ONLINE!
[04:04:36 PM || 19/06/2026] [INFO] [BOT] Commands: 137 | Events: 19 | Prefix: .
[04:04:53 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: bot
[04:05:00 PM || 19/06/2026] [INFO] [HEARTBEAT] Connection active
[04:05:17 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: https://www.instagram.com/reels/DZCYwCKyOSg/
[04:05:26 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: .help
[04:05:26 PM || 19/06/2026] [COMMAND] help by - ⸙ ❰ 𝐙𝐀𝐈𝐍 ❱ ː » 𖤍 ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️ ️ in 1576388534081379
[04:05:38 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: .ai hello
[04:05:44 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: hi
[04:05:50 PM || 19/06/2026] [ERROR] [REPLY] Error in help: Cannot read properties of undefined (reading 'author')
[04:06:00 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: Hi
[04:06:05 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: by
[04:06:16 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: Bhai file de 😂
[04:06:23 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: groq implant nhi hoo re
[04:06:37 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: .pair
[04:06:37 PM || 19/06/2026] [COMMAND] pair by - ⸙ ❰ 𝐙𝐀𝐈𝐍 ❱ ː » 𖤍 ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️ ️ in 1576388534081379
[04:07:19 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: .job
[04:07:19 PM || 19/06/2026] [COMMAND] job by - ⸙ ❰ 𝐙𝐀𝐈𝐍 ❱ ː » 𖤍 ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️ ️ in 1576388534081379
[04:07:30 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: .pair
[04:07:30 PM || 19/06/2026] [COMMAND] pair by - ⸙ ❰ 𝐙𝐀𝐈𝐍 ❱ ː » 𖤍 ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️ ️ in 1576388534081379
[04:07:43 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: .pair
[04:07:43 PM || 19/06/2026] [COMMAND] pair by Mʀ Dɜvıɭ Sʌıɱ KʌAɓu in 1576388534081379
[04:07:49 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61587169348945: @𝓜𝓮𝓼𝓼𝓮𝓷𝓰𝓮𝓻 𝓴𝓲𝓷𝓰 𝓕𝓽 𝓐𝓵𝓮𝔁 𖤍️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️  ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
[04:08:02 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: koi aa
[04:08:17 PM || 19/06/2026] [INFO] [MSG_IN] [1576388534081379] 61590918472593: id nhi urr ri kal aik ee br maain uri ja re thi
